Workload;Exit;Single_record;Single_replay;Diff;Cumulative_record;Cumulative_replay
IDLE;RDTSC;246;246;0;246;246
IDLE;RDTSC;246;246;0;246;246
IDLE;RDTSC;246;246;0;246;246
IDLE;RDTSC;233;233;0;246;246
IDLE;RDTSC;246;246;0;246;246
IDLE;RDTSC;254;218;36;282;246
IDLE;RDTSC;254;218;36;282;246
IDLE;RDTSC;254;218;36;282;246
IDLE;RDTSC;254;218;36;282;246
IDLE;VMCALL;393;357;36;446;410
IDLE;RDTSC;254;218;36;446;410
IDLE;PENDING_VIRT_INTR;228;192;36;454;418
IDLE;RDTSC;254;218;36;454;418
IDLE;RDTSC;254;218;36;454;418
IDLE;RDTSC;254;218;36;454;418
IDLE;RDTSC;254;218;36;454;418
IDLE;VMCALL;393;357;36;454;418
IDLE;RDTSC;254;218;36;454;418
IDLE;RDTSC;254;218;36;454;418
IDLE;CR_ACCESS;335;299;36;551;515
IDLE;RDTSC;254;218;36;551;515
IDLE;RDTSC;254;218;36;551;515
IDLE;RDTSC;254;218;36;551;515
IDLE;RDTSC;254;218;36;551;515
IDLE;CR_ACCESS;350;314;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;VMCALL;393;357;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;RDTSC;254;218;36;593;557
IDLE;HLT;517;480;37;761;724
IDLE;RDTSC;246;246;0;761;724
IDLE;RDTSC;246;246;0;761;724
IDLE;RDTSC;246;246;0;761;724
IDLE;RDTSC;246;246;0;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;RDTSC;241;205;36;761;724
IDLE;VMCALL;393;357;36;761;724
IDLE;RDTSC;254;218;36;761;724
IDLE;PENDING_VIRT_INTR;228;192;36;761;724
